Date,Ticker,Cusip,Instrument_id,Instrument_name,Instrument_sector,Instrument_industry,Fiscal_year,Fiscal_quarter,Reports_at,Estimize.eps.weighted,Estimize.eps.high,Estimize.eps.low,Estimize.eps.sd,Estimize.eps.count,Estimize.revenue.weighted,Estimize.revenue.high,Estimize.revenue.low,Estimize.revenue.sd,Estimize.revenue.count,Wallstreet.eps.mean,Wallstreet.eps.count,Wallstreet.revenue.mean,Wallstreet.revenue.count,Reported.eps,Reported.revenue
2024-01-05,AAPL,037833100,est-146,Apple Inc,Technology,Consumer Electronics,2024,1,2024-02-01T21:30:00.000Z,2.35,2.42,2.28,0.04,12,118200000000.00,119500000000.00,117000000000.00,800000000.00,10,2.32,18,117900000000.00,22,,
2024-01-20,AAPL,037833100,est-146,Apple Inc,Technology,Consumer Electronics,2024,1,2024-02-01T21:30:00.000Z,2.38,2.45,2.30,0.03,14,118800000000.00,119800000000.00,117800000000.00,700000000.00,12,2.34,18,118000000000.00,22,,
2024-01-31,AAPL,037833100,est-146,Apple Inc,Technology,Consumer Electronics,2024,1,2024-02-01T21:30:00.000Z,2.40,2.48,2.32,0.03,15,119000000000.00,120000000000.00,118000000000.00,700000000.00,12,2.34,18,118100000000.00,22,,
2024-02-05,AAPL,037833100,est-146,Apple Inc,Technology,Consumer Electronics,2024,1,2024-02-01T21:30:00.000Z,2.40,2.48,2.32,0.03,15,119000000000.00,120000000000.00,118000000000.00,700000000.00,12,2.34,18,118100000000.00,22,2.18,119580000000.00
2024-04-05,AAPL,037833100,est-146,Apple Inc,Technology,Consumer Electronics,2024,2,2024-05-02T20:30:00.000Z,1.52,1.58,1.45,0.04,11,90500000000.00,91500000000.00,89500000000.00,600000000.00,9,1.50,17,90300000000.00,21,,
2024-04-25,AAPL,037833100,est-146,Apple Inc,Technology,Consumer Electronics,2024,2,2024-05-02T20:30:00.000Z,1.55,1.60,1.48,0.03,13,90800000000.00,91800000000.00,89800000000.00,550000000.00,11,1.51,17,90500000000.00,21,,
2024-05-06,AAPL,037833100,est-146,Apple Inc,Technology,Consumer Electronics,2024,2,2024-05-02T20:30:00.000Z,1.55,1.60,1.48,0.03,13,90800000000.00,91800000000.00,89800000000.00,550000000.00,11,1.51,17,90500000000.00,21,1.53,90753000000.00
2024-01-10,MSFT,078901949,est-773,Microsoft Corp,Technology,Software Infrastructure,2024,3,2024-01-23T21:30:00.000Z,2.70,2.80,2.60,0.05,20,60900000000.00,61500000000.00,60300000000.00,400000000.00,15,2.70,25,60900000000.00,28,,
2024-01-22,MSFT,078901949,est-773,Microsoft Corp,Technology,Software Infrastructure,2024,3,2024-01-23T21:30:00.000Z,2.74,2.80,2.68,0.02,22,61100000000.00,61800000000.00,60500000000.00,350000000.00,16,2.72,25,61100000000.00,28,,
2024-01-28,MSFT,078901949,est-773,Microsoft Corp,Technology,Software Infrastructure,2024,3,2024-01-23T21:30:00.000Z,2.74,2.80,2.68,0.03,22,61100000000.00,61800000000.00,60500000000.00,400000000.00,17,2.72,25,61000000000.00,28,2.93,62020000000.00
2024-03-15,TSLA,088168427,est-16123,Tesla Inc,Consumer Cyclical,Auto Manufacturers,2024,1,2024-04-23T20:30:00.000Z,0.52,0.60,0.40,0.06,18,22300000000.00,22600000000.00,22000000000.00,200000000.00,14,0.50,22,22250000000.00,25,,
2024-04-28,TSLA,088168427,est-16123,Tesla Inc,Consumer Cyclical,Auto Manufacturers,2024,1,2024-04-23T20:30:00.000Z,0.52,0.60,0.40,0.06,18,22300000000.00,22600000000.00,22000000000.00,200000000.00,14,0.50,22,22250000000.00,25,0.45,21301000000.00
2024-02-10,DEAD,000000000,est-99999,Defunct Corp,Technology,Software,2024,1,2024-03-01T21:30:00.000Z,0.80,0.90,0.70,0.05,5,50000000.00,52000000.00,48000000.00,1500000.00,4,0.78,6,49500000.00,7,,
